Predictions: (Task 2, Task 6, Task 10, Task 12, Task 13)

No         Predictions     Hop latency [us]     Accuracy [%]        
0          (3 5 1 1 1)     21.960               80.000              
1          (3 1 2 1 2)     9.852                80.000              
2          (3 3 2 1 2)     9.154                86.667              
3          (0 5 0 0 1)     15.272               80.000              
4          (3 5 2 1 1)     9.145                84.000              
5          (3 1 2 1 2)     9.118                86.667              
6          (3 1 1 1 2)     9.169                88.571              
7          (3 3 2 1 1)     9.157                90.000              
8          (3 5 2 1 1)     9.086                88.889              
9          (5 6 2 5 0)     9.148                84.000              
10         (3 5 2 1 2)     8.934                85.455              
11         (3 3 2 1 1)     9.158                86.667              
12         (3 3 1 1 1)     15.559               84.615              
13         (3 5 2 1 1)     9.344                85.714              
14         (3 5 1 1 1)     9.148                85.333              
15         (3 1 1 1 2)     15.282               85.000              
16         (4 3 2 5 1)     9.180                83.529              
17         (3 3 2 1 2)     15.313               84.444              
18         (3 5 1 1 2)     9.977                85.263              
19         (4 3 2 1 1)     12.538               85.000              
20         (0 1 1 0 2)     15.762               83.810              
21         (3 3 1 1 2)     9.096                84.545              
22         (3 1 2 1 2)     9.159                84.348              
23         (3 1 0 0 0)     9.096                82.500              
24         (3 3 2 1 1)     10.080               83.200              
25         (5 3 2 1 2)     12.364               83.846              
26         (4 6 2 5 0)     9.158                82.222              
27         (3 1 2 1 1)     9.179                80.714              
28         (3 3 2 1 2)     9.109                81.379              
29         (3 5 1 1 1)     9.106                81.333              
30         (2 5 1 0 1)     9.148                80.645              
31         (3 1 2 1 2)     9.097                81.250              
32         (3 3 2 1 2)     9.099                81.818              
33         (0 2 0 0 1)     15.262               80.588              
34         (3 3 2 1 2)     9.170                81.143              
35         (4 3 2 0 1)     15.744               80.556              
36         (3 1 2 1 2)     15.293               80.541              
37         (3 3 1 1 2)     9.180                81.053              
38         (3 5 2 1 1)     9.170                81.026              
39         (3 3 2 1 2)     9.989                81.500              
40         (3 5 1 1 1)     12.354               81.951              
41         (4 3 2 1 1)     10.029               81.905              
42         (0 1 1 1 1)     12.346               80.930              
43         (3 5 1 1 2)     9.098                81.364              
44         (2 3 2 1 2)     9.159                81.778              
45         (0 3 2 5 1)     9.159                81.304              
46         (2 5 1 0 1)     9.169                80.851              
47         (3 1 1 1 1)     9.119                80.833              
48         (3 5 2 1 1)     9.180                80.816              
49         (3 5 2 1 2)     9.981                81.200              
50         (3 3 2 1 2)     10.009               81.569              
51         (2 5 1 0 1)     15.549               81.154              
52         (5 3 2 1 2)     9.159                81.509              
53         (4 3 0 3 2)     9.169                81.481              
54         (3 5 2 1 2)     9.108                81.818              
55         (3 3 2 1 2)     10.092               82.143              
56         (3 3 2 1 1)     15.232               82.105              
57         (3 1 2 1 2)     9.097                82.069              
58         (3 3 2 1 2)     9.088                82.373              
59         (3 3 2 1 2)     9.129                82.667              
60         (3 5 1 1 1)     9.169                82.295              
61         (3 5 2 1 1)     9.160                82.258              
62         (0 1 1 1 2)     9.149                81.905              
